0	0	0.0	1473449279395
1	1	1.0	1473449279504
1	2	0.0	1473449279504
2	3	1.0	1473449279501
3	4	1.0	1473449279504
3	2	0.0	1473449279505
4	4	1.0	1473449279502
5	5	1.0	1473449279505
4	1	1.0	1473449279502
5	1	1.0	1473449279505
6	6	1.0	1473449279505
7	7	1.0	1473449279506
7	6	1.0	1473449279506
0	7	1.0	1473449279363
8	5	1.0	1473449279507
9	7	1.0	1473449279502
10	0	1.0	1473449279501
8	8	1.0	1473449279507
11	3	1.0	1473449279508
12	8	0.7	1473449279509
9	6	1.0	1473449279502
13	2	0.0	1473449279503
14	9	1.0	1473449279510
15	0	1.0	1473449279510
16	1	1.0	1473449279504
9	9	1.0	1473449279502
15	3	1.0	1473449279510
3	9	1.0	1473449279505
13	0	1.0	1473449279503
17	4	0.0	1473449279511
5	6	1.0	1473449279505
18	3	1.0	1473449279512
